age1,age3,age5,age7,age9,age11,age13,age15,FID_68,IID_68,EA_01,EA_03,EA_05,EA_07,EA_09,EA_11,EA_13,EA_15,EMPL_1,EMPL_3,EMPL_5,EMPL_7,EMPL_9,EMPL_11,EMPL_13,EMPL_15
49,52,53,55,57,59,61,63,13,3,12,12,12,12,13,13,13,13,6,6,6,6,4,4,6,4
50,52,54,56,58,61,62,64,13,4,15,15,15,15,15,15,15,15,1,4,5,4,4,4,5,4
23,25,27,29,31,33,35,37,13,30,,,,,16,16,16,17,1,2,6,1,1,1,7,1
18,21,22,24,26,28,30,32,13,31,12,12,12,12,12,,,,1,3,1,1,1,,,
-3,-1,1,3,5,8,9,12,13,32,,,,,,,,,,,,,,,,
53,55,56,58,60,63,64,66,13,170,12,12,12,12,14,14,14,14,1,1,1,4,4,4,4,4
47,49,51,53,55,58,59,61,13,176,12,12,12,12,12,12,,,1,1,1,1,1,1,,
26,28,30,32,34,36,38,40,13,178,,,,,14,14,14,14,1,1,1,1,1,1,1,1
73,75,77,79,81,83,85,87,14,1,16,16,,,,,,,4,4,,,,,,
49,51,53,55,57,59,61,63,14,2,16,16,16,16,16,16,,,1,3,3,5,5,5,,
44,46,48,50,52,54,56,58,14,3,14,14,14,14,14,14,14,14,,1,6,1,1,1,1,1
37,40,41,44,46,47,49,51,14,4,12,12,12,12,11,11,11,11,1,1,1,4,4,4,4,5
15,17,19,21,23,25,27,29,14,30,,11,13,12,13,12,14,14,,7,7,2,1,3,1,1
13,15,17,19,21,23,25,27,14,31,,,11,12,12,12,12,12,,,1,1,1,6,5,1
8,10,12,14,16,18,20,22,14,32,,,,,11,,,,,,,0,7,,,
6,8,10,12,14,16,18,20,14,33,,,,,,10,,,,,,,,7,7,
-11,-9,-7,-5,-3,-1,1,3,14,34,,,,,,,,,,,,,,,,
34,36,38,40,42,44,46,48,14,172,12,12,12,12,12,12,12,12,6,1,1,1,1,1,6,5
39,41,43,45,47,49,51,53,14,173,17,17,17,17,17,17,17,17,1,1,1,1,1,1,1,1
15,17,19,21,23,25,27,29,14,174,,,,12,14,,,,,,,3,1,,,
28,30,32,34,36,38,40,42,14,175,,,,,,12,,,,,,,,1,,
16,18,20,22,24,26,28,30,14,176,,,,,,,14,14,,,,,,,6,6
-3,-1,1,3,5,7,9,11,14,177,,,,,,,,,,,,,,,,
-7,-5,-3,-1,1,3,5,7,14,178,,,,,,,,,,,,,,,,
18,20,22,24,26,28,30,32,14,179,,,,,,,,12,,,,,,,,1
63,65,67,69,71,73,75,77,16,2,12,12,12,12,13,13,13,13,4,4,4,5,4,4,4,4
39,41,43,45,47,49,51,53,16,3,10,12,12,12,10,13,15,17,1,1,3,1,1,1,1,1
34,36,38,40,42,44,46,48,16,4,12,12,12,12,14,14,,16,1,1,1,1,1,1,,1
38,40,42,44,46,48,50,52,16,5,,,,12,13,13,13,13,,,,3,3,3,1,1
21,22,24,26,29,31,33,35,16,30,13,13,13,13,13,13,,13,6,6,6,6,6,6,,6
17,19,21,23,25,27,29,31,16,32,10,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1
6,9,10,12,14,16,18,20,16,33,,,,,,,,,,,,,,,,
2,4,6,8,10,12,14,16,16,34,,,,,,,,11,,,,,,,,1
1,2,4,6,8,10,13,14,16,35,,,,,,,,,,,,,,,,
-1,1,2,4,7,9,11,13,16,36,,,,,,,,,,,,,,,,
-3,-1,1,2,4,6,8,10,16,37,,,,,,,,,,,,,,,,
-3,-1,1,3,5,7,9,11,16,38,,,,,,,,,,,,,,,,
-5,-3,-1,1,3,5,7,10,16,39,,,,,,,,,,,,,,,,
-7,-5,-3,-1,1,3,5,7,16,40,,,,,,,,,,,,,,,,
-9,-7,-5,-3,-1,1,3,5,16,41,,,,,,,,,,,,,,,,
-9,-7,-5,-3,-1,1,3,5,16,42,,,,,,,,,,,,,,,,
-13,-11,-9,-7,-5,-3,-1,1,16,43,,,,,,,,,,,,,,,,
43,45,47,49,51,53,55,57,16,170,12,12,,,,,,,1,1,,,,,,
38,40,42,44,46,48,50,52,16,171,,,,14,14,14,15,15,,,,7,7,7,6,6
42,44,46,48,51,52,54,57,16,172,12,12,12,12,12,12,,14,1,1,1,1,1,3,,1
27,29,31,33,35,37,39,41,16,173,14,14,14,14,16,16,,17,7,1,1,1,1,1,,1
11,13,15,17,19,21,23,25,16,174,,,,10,11,10,12,12,,,,3,3,1,3,3
21,23,25,27,29,31,33,35,16,175,,12,12,12,11,,,,,1,1,1,1,,,
21,23,25,27,29,31,33,35,16,176,,,13,13,14,14,14,14,,,1,1,1,1,1,1
4,6,8,10,12,13,15,17,16,177,,,,,,,,10,,,,,,,,7
0,2,4,6,8,10,12,14,16,178,,,,,,,,,,,,,,,,
-1,1,3,5,7,8,11,13,16,179,,,,,,,,,,,,,,,,
17,19,21,23,25,27,30,31,16,180,,,,,,10,,,,,,,,6,,
-11,-9,-7,-5,-3,-1,1,3,16,181,,,,,,,,,,,,,,,,
90,93,94,96,98,100,,,17,1,12,12,12,,,,,,4,4,4,,,,,
79,81,83,85,87,89,91,93,18,2,12,12,12,12,12,12,12,12,4,4,4,4,4,6,4,4
44,46,48,50,52,54,56,58,18,3,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1
47,50,51,53,55,57,60,61,18,4,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1
48,51,52,54,56,58,60,62,18,5,12,12,12,12,12,12,12,12,3,6,3,8,2,3,2,3
54,56,57,59,62,63,66,67,18,21,13,13,13,13,13,13,13,13,1,1,1,1,1,4,4,4
28,31,32,34,36,39,41,42,18,30,14,14,14,14,15,15,15,15,1,1,1,1,1,1,1,1
28,30,32,34,36,38,40,42,18,31,12,12,12,12,14,,,,7,7,7,6,1,1,1,1
27,29,31,33,35,37,39,41,18,35,12,12,12,12,,,,12,1,1,1,,,,,1
21,23,25,26,29,30,33,35,18,36,,15,16,16,16,16,17,17,7,1,1,1,1,1,1,1
20,23,24,26,28,30,32,34,18,37,12,12,12,,12,12,12,12,5,5,3,5,5,5,5,5
15,17,19,21,23,25,27,29,18,38,,11,12,13,13,13,,14,,7,1,1,1,1,,1
6,9,10,12,14,16,18,20,18,39,,,,,,9,12,13,,,,,,7,7,7
6,9,10,12,14,16,18,20,18,40,,,,,,9,12,12,,,,,,7,7,1
5,7,9,11,13,15,17,19,18,41,,,,,,,11,12,,,,,,,1,1
3,6,7,9,12,13,16,17,18,42,,,,,,,10,11,,,,,,,7,7
1,3,5,6,9,10,13,15,18,43,,,,,,,,,,,,,,,,
1,3,5,7,9,12,13,15,18,44,,,,,,,,,,,,,,,,
1,3,5,7,9,11,13,15,18,45,,,,,,,,,,,,,,,,
-1,1,3,5,7,9,11,13,18,46,,,,,,,,,,,,,,,,
-5,-3,-1,1,3,6,7,9,18,47,,,,,,,,,,,,,,,,
-7,-5,-3,-1,1,2,4,6,18,48,,,,,,,,,,,,,,,,
-7,-5,-3,-1,1,3,5,7,18,49,,,,,,,,,,,,,,,,
-9,-7,-5,-3,-1,1,3,5,18,50,,,,,,,,,,,,,,,,
-13,-11,-9,-7,-5,-3,-1,1,18,52,,,,,,,,,,,,,,,,
46,48,50,52,54,56,58,60,18,170,12,12,12,,,,12,,6,1,6,,,,6,
47,49,51,53,55,57,59,61,18,172,12,12,12,12,17,17,17,17,1,1,1,1,1,1,1,1
53,55,57,59,61,63,65,67,18,173,12,12,12,12,14,14,14,14,5,6,5,6,1,4,4,4
19,21,23,25,27,29,31,33,18,181,13,,,,,,,,7,,,,,,,
29,32,33,35,37,39,41,43,18,183,12,12,12,12,12,12,,,1,1,1,1,1,,,
32,34,36,37,40,42,44,46,18,184,17,17,17,17,17,17,17,17,6,6,1,1,1,1,1,1
26,28,30,32,34,36,38,40,18,185,13,13,14,14,14,14,14,15,3,1,1,1,6,6,6,7
7,9,11,13,15,17,19,21,18,186,,,,,,10,,,,,,,,7,,
6,8,10,12,14,16,18,20,18,189,,,,,,9,11,14,,,,,,7,7,7
41,43,45,47,49,51,53,55,18,190,,,,,,,,,,,,,,,,
36,38,40,42,44,46,48,50,18,193,,,16,,,,16,,1,1,1,,,,1,
6,8,10,12,14,16,18,20,18,194,,,,,,,12,,,,,,,,1,
11,13,15,17,19,21,23,25,18,195,,,,,,,,,,,,,,,,
12,14,16,18,20,22,24,26,18,196,,,,,,,,,,,,,,,,
31,33,35,37,39,41,43,45,18,197,,9,10,,,,,,5,5,1,,,,,
48,50,52,54,56,58,60,62,18,198,,,15,,,,,,,,1,,,,,
47,49,51,53,55,57,59,61,18,199,,,12,,,,,,,,1,,,,,
18,20,22,23,26,28,30,32,18,200,,,,,,,,,,,,,,,,
33,35,37,39,41,43,45,47,18,201,,,13,14,,,,,,,1,,,,,
39,41,43,45,47,49,51,53,18,202,,,,12,12,12,12,12,,,,1,3,1,1,1
16,18,20,22,24,26,28,30,18,203,,,,,1,,,,,,,,,,,
25,27,29,31,33,35,37,39,18,204,,,,12,12,12,12,12,,,,1,1,1,1,1
17,19,21,23,25,27,29,31,18,205,,,,,12,12,12,12,,,,1,1,1,1,1
24,26,28,30,32,34,36,38,18,206,,,,,16,16,16,16,,,,0,1,1,1,1
11,13,15,17,19,21,23,25,18,207,,,,10,,,,,,,,,,,,
3,5,7,9,11,13,15,17,18,208,,,,,,,,,,,,,,,,
22,24,26,28,30,32,34,36,18,209,,,,,16,16,,14,,,,0,1,1,,1
3,5,7,9,11,13,15,17,18,210,,,,,,,,10,,,,,,,,7
-9,-7,-5,-3,-1,1,2,4,18,211,,,,,,,,,,,,,,,,
